scene_id,attack_name,category,severity,success,cve_reference,duration_ms
102344193,"Buffer Overflow (Command Buffer)",buffer_overflow,high,1,"CVE-2020-12695 (UPnP buffer overflow in IoT devices)",36.9
102344193,"Buffer Overflow (SET_ID)",buffer_overflow,medium,1,"CVE-2021-28372 (ThroughTek IoT device overflow)",7.8
102344193,"Authentication Bypass (No Token)",authentication_bypass,critical,1,"CVE-2019-19356 (Netis router auth bypass)",9.8
102344193,"Authentication Bypass (Weak Token Validation)",authentication_bypass,low,0,"CVE-2020-25078 (D-Link DCS camera hardcoded credentials)",5.6
102344193,"Information Disclosure (Debug Dump)",information_disclosure,low,0,"CVE-2021-36260 (Hikvision debug endpoint info disclosure)",3.6
102344193,"Information Disclosure (Token Leakage)",information_disclosure,informational,0,"",8.7
102344193,"Command Injection (Newline)",command_injection,low,0,"CVE-2019-17621 (D-Link command injection)",416.6
102344193,"Command Injection (Null Byte)",command_injection,medium,1,"",3005.1
102344193,"Firmware Update Buffer Overflow",firmware_update_attack,critical,1,"CVE-2022-25845 (Firmware update vulnerability in smart devices)",6.2
102344193,"Unsigned Firmware Update",firmware_update_attack,low,0,"CVE-2020-10882 (TP-Link unsigned firmware update)",16.0
102344193,"Denial of Service (Command Flood)",denial_of_service,medium,1,"",579.4
102344193,"Denial of Service (Large Payload)",denial_of_service,medium,1,"",14.1
102344193,"State Manipulation (Sensor Disarm)",state_manipulation,low,0,"CVE-2019-9483 (SimpliSafe alarm disarm vulnerability)",212.5
102344193,"State Manipulation (Calibration Abuse)",state_manipulation,low,0,"",8.3
102344193,"Replay Attack",replay_attack,low,0,"CVE-2018-11714 (Zigbee replay vulnerability)",212.0
102344193,"Protocol Fuzzing (Random)",protocol_fuzzing,high,1,"",24040.4
102344193,"Format String Attack",protocol_fuzzing,high,1,"CVE-2019-14889 (libssh format string vulnerability)",11.1
102344193,"Out-of-Bounds Write (Schedule Array)",buffer_overflow,high,1,"CVE-2021-33104 (IoT OOB write vulnerability)",13.2
