scene_id,attack_name,category,success,packets_sent,packets_captured,duration_ms
102344439,"Unauthorized Device Enumeration",matter_eavesdropping,0,0,0,11.9
102344439,"Matter State Injection",matter_message_injection,0,0,0,14.3
102344439,"Matter Command Hijack",matter_command_hijack,0,0,0,7.1
102344439,"TCP Connection Hijack",tcp_connection_hijack,1,0,0,504.3
102344439,"TCP Man-in-the-Middle Proxy",tcp_man_in_the_middle,1,0,4,1108.9
102344439,"TCP Connection Flood DoS",network_denial_of_service,1,50,0,515.7
102344439,"Zigbee Frame Replay",protocol_replay,1,0,0,2.6
102344439,"Zigbee Network Key Extraction",protocol_downgrade,1,0,0,0.1
102344439,"Protocol Downgrade (No Encryption)",protocol_downgrade,0,0,0,2.3
102344439,"ARP Cache Poisoning (Simulated)",arp_spoofing,1,0,0,0.0
102344439,"DNS Poisoning (Simulated)",dns_poisoning,1,0,0,0.0
102344439,"WiFi Deauthentication Attack (Simulated)",deauthentication_attack,1,30,0,0.0
102344439,"Evil Twin Access Point (Simulated)",evil_twin_ap,1,0,0,0.0
102344439,"Traffic Fingerprinting",traffic_analysis,1,0,0,1812.2
