scene_id,attack_name,category,severity,success,cve_reference,duration_ms
102344439,"Buffer Overflow (Command Buffer)",buffer_overflow,high,1,"CVE-2020-12695 (UPnP buffer overflow in IoT devices)",15.4
102344439,"Buffer Overflow (SET_ID)",buffer_overflow,medium,1,"CVE-2021-28372 (ThroughTek IoT device overflow)",7.0
102344439,"Authentication Bypass (No Token)",authentication_bypass,critical,1,"CVE-2019-19356 (Netis router auth bypass)",11.9
102344439,"Authentication Bypass (Weak Token Validation)",authentication_bypass,low,0,"CVE-2020-25078 (D-Link DCS camera hardcoded credentials)",6.3
102344439,"Information Disclosure (Debug Dump)",information_disclosure,low,0,"CVE-2021-36260 (Hikvision debug endpoint info disclosure)",3.7
102344439,"Information Disclosure (Token Leakage)",information_disclosure,informational,0,"",8.8
102344439,"Command Injection (Newline)",command_injection,low,0,"CVE-2019-17621 (D-Link command injection)",417.9
102344439,"Command Injection (Null Byte)",command_injection,medium,1,"",3006.3
102344439,"Firmware Update Buffer Overflow",firmware_update_attack,critical,1,"CVE-2022-25845 (Firmware update vulnerability in smart devices)",6.6
102344439,"Unsigned Firmware Update",firmware_update_attack,low,0,"CVE-2020-10882 (TP-Link unsigned firmware update)",5.4
102344439,"Denial of Service (Command Flood)",denial_of_service,medium,1,"",571.5
102344439,"Denial of Service (Large Payload)",denial_of_service,medium,1,"",14.1
102344439,"State Manipulation (Sensor Disarm)",state_manipulation,critical,1,"CVE-2019-9483 (SimpliSafe alarm disarm vulnerability)",217.1
102344439,"State Manipulation (Calibration Abuse)",state_manipulation,low,0,"",6.9
102344439,"Replay Attack",replay_attack,low,0,"CVE-2018-11714 (Zigbee replay vulnerability)",211.3
102344439,"Protocol Fuzzing (Random)",protocol_fuzzing,high,1,"",24046.4
102344439,"Format String Attack",protocol_fuzzing,high,1,"CVE-2019-14889 (libssh format string vulnerability)",48.7
102344439,"Out-of-Bounds Write (Schedule Array)",buffer_overflow,high,1,"CVE-2021-33104 (IoT OOB write vulnerability)",16.2
