scene_id,attack_name,category,success,packets_sent,packets_captured,duration_ms
105515235_173104215,"MQTT Unauthorized Subscribe (Eavesdropping)",mqtt_eavesdropping,0,0,0,106.7
105515235_173104215,"MQTT Message Injection",mqtt_message_injection,0,0,0,102.8
105515235_173104215,"MQTT Topic Hijack (Command MITM)",mqtt_topic_hijack,0,0,0,102.0
105515235_173104215,"TCP Connection Hijack",tcp_connection_hijack,1,0,0,505.3
105515235_173104215,"TCP Man-in-the-Middle Proxy",tcp_man_in_the_middle,1,0,4,1110.4
105515235_173104215,"TCP Connection Flood DoS",network_denial_of_service,1,50,0,2512.8
105515235_173104215,"Zigbee Frame Replay",protocol_replay,1,0,0,1.4
105515235_173104215,"Zigbee Network Key Extraction",protocol_downgrade,1,0,0,2.0
105515235_173104215,"Protocol Downgrade (No Encryption)",protocol_downgrade,0,0,0,1.3
105515235_173104215,"ARP Cache Poisoning (Simulated)",arp_spoofing,1,0,0,0.0
105515235_173104215,"DNS Poisoning (Simulated)",dns_poisoning,1,0,0,0.0
105515235_173104215,"WiFi Deauthentication Attack (Simulated)",deauthentication_attack,1,30,0,0.0
105515235_173104215,"Evil Twin Access Point (Simulated)",evil_twin_ap,1,0,0,0.0
105515235_173104215,"Traffic Fingerprinting",traffic_analysis,1,0,0,5818.2
