scene_id,attack_name,category,severity,success,cve_reference,duration_ms
107734449_176000403,"Buffer Overflow (Command Buffer)",buffer_overflow,high,1,"CVE-2020-12695 (UPnP buffer overflow in IoT devices)",50.6
107734449_176000403,"Buffer Overflow (SET_ID)",buffer_overflow,medium,1,"CVE-2021-28372 (ThroughTek IoT device overflow)",11.1
107734449_176000403,"Authentication Bypass (No Token)",authentication_bypass,critical,1,"CVE-2019-19356 (Netis router auth bypass)",13.6
107734449_176000403,"Authentication Bypass (Weak Token Validation)",authentication_bypass,low,0,"CVE-2020-25078 (D-Link DCS camera hardcoded credentials)",7.3
107734449_176000403,"Information Disclosure (Debug Dump)",information_disclosure,low,0,"CVE-2021-36260 (Hikvision debug endpoint info disclosure)",8.2
107734449_176000403,"Information Disclosure (Token Leakage)",information_disclosure,informational,0,"",14.0
107734449_176000403,"Command Injection (Newline)",command_injection,low,0,"CVE-2019-17621 (D-Link command injection)",414.5
107734449_176000403,"Command Injection (Null Byte)",command_injection,medium,1,"",3007.0
107734449_176000403,"Firmware Update Buffer Overflow",firmware_update_attack,critical,1,"CVE-2022-25845 (Firmware update vulnerability in smart devices)",7.2
107734449_176000403,"Unsigned Firmware Update",firmware_update_attack,low,0,"CVE-2020-10882 (TP-Link unsigned firmware update)",5.9
107734449_176000403,"Denial of Service (Command Flood)",denial_of_service,medium,1,"",589.2
107734449_176000403,"Denial of Service (Large Payload)",denial_of_service,medium,1,"",13.6
107734449_176000403,"State Manipulation (Sensor Disarm)",state_manipulation,low,0,"CVE-2019-9483 (SimpliSafe alarm disarm vulnerability)",218.6
107734449_176000403,"State Manipulation (Calibration Abuse)",state_manipulation,low,0,"",8.0
107734449_176000403,"Replay Attack",replay_attack,low,0,"CVE-2018-11714 (Zigbee replay vulnerability)",209.3
107734449_176000403,"Protocol Fuzzing (Random)",protocol_fuzzing,high,1,"",24054.0
107734449_176000403,"Format String Attack",protocol_fuzzing,high,1,"CVE-2019-14889 (libssh format string vulnerability)",10.0
107734449_176000403,"Out-of-Bounds Write (Schedule Array)",buffer_overflow,high,1,"CVE-2021-33104 (IoT OOB write vulnerability)",13.7
